project_id,client_id,client_name,sector,service_line,start_date,planned_end_date,actual_end_date,status,complexity,team_size,senior_staff_count,junior_staff_count,contract_value_ngn,actual_cost_ngn,delay_days,cost_overrun_pct,client_satisfaction_score,renewed_within_12m,acquisition_channel
P1061,C-PS-Client-05,PS-Client-05,Public Sector,Stakeholder Engagement,2021-01-16,2021-02-16,2021-03-24,Completed,Low,2,1,1,1380000.0,2210000.0,36.0,0.6,2.2,No,Competitive Tender
P1064,C-PS-Client-04,PS-Client-04,Public Sector,Digital Transformation,2021-01-17,2021-02-17,2021-02-18,Completed,Low,3,1,2,2330000.0,2380000.0,1.0,0.021,4.7,Yes,Direct Outreach
P1400,C-TAI-Client-05,TAI-Client-05,Technology and Innovation,Strategic Planning,2021-01-18,2021-07-18,2021-08-21,Completed,High,8,3,5,70900000.0,82530000.0,34.0,0.164,3.9,Yes,Competitive Tender
P1062,C-PS-Client-04,PS-Client-04,Public Sector,Strategic Planning,2021-01-18,2021-06-18,2021-06-19,Completed,Medium,6,2,4,34920000.0,35160000.0,1.0,0.007,4.0,No,Direct Outreach
P0004,C-A-Client-08,A-Client-08,Agriculture,Stakeholder Engagement,2021-01-21,2021-06-21,2021-09-11,Completed,Medium,5,2,3,19890000.0,25380000.0,82.0,0.276,3.0,No,Competitive Tender
P0001,C-A-Client-02,A-Client-02,Agriculture,Stakeholder Engagement,2021-01-22,2021-04-22,2021-04-22,Completed,Low,4,1,3,10090000.0,10090000.0,0.0,0.0,4.1,Yes,Competitive Tender
P1063,C-PS-Client-09,PS-Client-09,Public Sector,Strategic Planning,2021-01-23,2021-10-23,2022-01-14,Completed,High,7,2,5,65540000.0,75040000.0,83.0,0.145,2.0,No,Direct Outreach
P0631,C-E-Client-07,E-Client-07,Energy,Political Risk Management,2021-01-23,2021-02-23,2021-03-07,Completed,Low,4,1,3,5140000.0,6900000.0,12.0,0.343,3.4,No,Referral
P1065,C-PS-Client-06,PS-Client-06,Public Sector,Strategic Planning,2021-01-26,2021-03-26,2021-04-11,Completed,Low,3,1,2,4490000.0,5720000.0,16.0,0.273,3.0,No,Direct Outreach
P0239,C-CACM-Client-04,CACM-Client-04,Climate and Carbon Markets,Stakeholder Engagement,2021-01-26,2021-05-26,2021-05-28,Completed,Medium,5,2,3,22310000.0,22640000.0,2.0,0.015,4.0,Yes,Referral
P0863,C-FAI-Client-05,FAI-Client-05,Finance and Insurance,Stakeholder Engagement,2021-01-26,2021-05-26,,Cancelled,Medium,6,2,4,31820000.0,32490000.0,,,,N/A,Direct Outreach
P0865,C-FAI-Client-02,FAI-Client-02,Finance and Insurance,Political Risk Management,2021-01-28,2021-04-28,2021-04-29,Completed,Low,4,1,3,12610000.0,12770000.0,1.0,0.013,4.6,Yes,Competitive Tender
P1217,C-CEAT-Client-07,CEAT-Client-07,Creative Economy and Tourism,Digital Transformation,2021-01-28,2021-05-28,2021-05-29,Completed,Medium,7,3,4,24930000.0,25100000.0,1.0,0.007,4.4,Yes,Direct Outreach
P1406,C-TAI-Client-03,TAI-Client-03,Technology and Innovation,Digital Transformation,2021-02-01,2021-04-01,2021-06-24,Completed,Medium,4,1,3,11400000.0,18110000.0,84.0,0.589,2.3,Yes,Repeat Client
P0007,C-A-Client-06,A-Client-06,Agriculture,Data Visualization & Analytics,2021-02-03,2021-07-03,2021-09-20,Completed,Medium,4,2,2,15710000.0,21330000.0,79.0,0.358,2.4,No,Repeat Client
P0011,C-A-Client-05,A-Client-05,Agriculture,Strategic Planning,2021-02-03,2021-06-03,2021-06-07,Completed,High,10,4,6,40290000.0,41900000.0,4.0,0.04,4.1,No,Competitive Tender
P0009,C-A-Client-05,A-Client-05,Agriculture,Digital Transformation,2021-02-04,2021-07-04,2021-07-16,Completed,Medium,4,1,3,17930000.0,19310000.0,12.0,0.077,4.3,Yes,Referral
P1408,C-TAI-Client-08,TAI-Client-08,Technology and Innovation,Digital Transformation,2021-02-05,2021-05-05,2021-06-03,Completed,Low,3,1,2,8190000.0,10290000.0,29.0,0.256,3.8,No,Referral
P1405,C-TAI-Client-03,TAI-Client-03,Technology and Innovation,Market & Social Research,2021-02-05,2021-04-05,2021-04-05,Completed,Low,4,2,2,8260000.0,8260000.0,0.0,0.0,4.4,No,Direct Outreach
P0633,C-E-Client-03,E-Client-03,Energy,Stakeholder Engagement,2021-02-06,2021-09-06,2021-12-19,Completed,High,15,6,9,199400000.0,252640000.0,104.0,0.267,2.2,No,Competitive Tender
P0634,C-E-Client-03,E-Client-03,Energy,Market & Social Research,2021-02-06,2021-07-06,2021-07-10,Completed,Medium,6,3,3,49190000.0,50030000.0,4.0,0.017,4.7,No,Repeat Client
P0868,C-FAI-Client-08,FAI-Client-08,Finance and Insurance,Market & Social Research,2021-02-07,2021-04-07,2021-05-23,Completed,Low,3,1,2,8660000.0,12840000.0,46.0,0.483,2.4,No,Referral
P1404,C-TAI-Client-06,TAI-Client-06,Technology and Innovation,Political Risk Management,2021-02-07,2021-05-07,,Cancelled,Low,3,1,2,9640000.0,11180000.0,,,,N/A,Referral
P0006,C-A-Client-06,A-Client-06,Agriculture,Strategic Planning,2021-02-09,2021-03-09,2021-03-09,Completed,Low,2,1,1,1290000.0,1290000.0,0.0,0.0,4.0,No,Direct Outreach
P0005,C-A-Client-07,A-Client-07,Agriculture,Data Visualization & Analytics,2021-02-09,2021-06-09,2021-08-05,Completed,High,9,2,7,36390000.0,45630000.0,57.0,0.254,2.5,No,Referral
P1068,C-PS-Client-04,PS-Client-04,Public Sector,Political Risk Management,2021-02-09,2021-11-09,2021-11-13,Completed,High,13,5,8,138680000.0,140070000.0,4.0,0.01,4.1,No,Repeat Client
P1402,C-TAI-Client-07,TAI-Client-07,Technology and Innovation,Political Risk Management,2021-02-11,2021-11-11,2021-11-12,Completed,High,13,4,9,195990000.0,196770000.0,1.0,0.004,4.2,Yes,Referral
P1403,C-TAI-Client-08,TAI-Client-08,Technology and Innovation,Market & Social Research,2021-02-14,2021-05-14,2021-06-23,Completed,Medium,5,2,3,21460000.0,28430000.0,40.0,0.325,3.3,No,Competitive Tender
P1407,C-TAI-Client-03,TAI-Client-03,Technology and Innovation,Strategic Planning,2021-02-16,2021-05-16,2021-05-17,Completed,Low,3,1,2,7720000.0,7770000.0,1.0,0.007,4.3,No,Referral
P1069,C-PS-Client-03,PS-Client-03,Public Sector,Data Visualization & Analytics,2021-02-18,2021-10-18,2021-11-16,Completed,High,14,4,10,151890000.0,169810000.0,29.0,0.118,3.6,No,Competitive Tender
P1070,C-PS-Client-05,PS-Client-05,Public Sector,Data Visualization & Analytics,2021-02-18,2021-05-18,2021-05-18,Completed,Low,3,1,2,6410000.0,6410000.0,0.0,0.0,4.2,No,Referral
P1071,C-PS-Client-03,PS-Client-03,Public Sector,Digital Transformation,2021-02-19,2021-08-19,2021-08-19,Completed,High,13,5,8,100910000.0,100910000.0,0.0,0.0,4.0,No,Referral
P0632,C-E-Client-07,E-Client-07,Energy,Political Risk Management,2021-02-20,2021-05-20,2021-05-20,Completed,Medium,8,2,6,32820000.0,32820000.0,0.0,0.0,3.7,No,Repeat Client
P0010,C-A-Client-04,A-Client-04,Agriculture,Digital Transformation,2021-02-20,2021-06-20,2021-06-20,Completed,Medium,8,3,5,26690000.0,26690000.0,0.0,0.0,4.3,No,Repeat Client
P0008,C-A-Client-08,A-Client-08,Agriculture,Stakeholder Engagement,2021-02-20,2021-06-20,2021-08-26,Completed,Medium,4,2,2,16650000.0,23410000.0,67.0,0.406,2.4,No,Repeat Client
P1067,C-PS-Client-06,PS-Client-06,Public Sector,Stakeholder Engagement,2021-02-28,2021-07-28,2021-09-07,Completed,Medium,8,3,5,41490000.0,48500000.0,41.0,0.169,3.5,No,Repeat Client
P0636,C-E-Client-04,E-Client-04,Energy,Political Risk Management,2021-03-01,2021-10-01,2021-10-02,Completed,High,9,4,5,109730000.0,110060000.0,1.0,0.003,4.1,No,Referral
P1412,C-TAI-Client-04,TAI-Client-04,Technology and Innovation,Digital Transformation,2021-03-01,2021-11-01,2021-11-02,Completed,High,14,4,10,187400000.0,188340000.0,1.0,0.005,4.6,Yes,Direct Outreach
P1221,C-CEAT-Client-01,CEAT-Client-01,Creative Economy and Tourism,Stakeholder Engagement,2021-03-02,2021-05-02,2021-05-05,Completed,Low,4,2,2,5770000.0,6020000.0,3.0,0.043,4.7,No,Repeat Client
P1072,C-PS-Client-08,PS-Client-08,Public Sector,Digital Transformation,2021-03-04,2021-12-04,2021-12-08,Completed,High,10,4,6,117680000.0,118860000.0,4.0,0.01,3.7,No,Competitive Tender
P0242,C-CACM-Client-06,CACM-Client-06,Climate and Carbon Markets,Digital Transformation,2021-03-05,2021-05-05,2021-05-06,Completed,Medium,6,2,4,17870000.0,18050000.0,1.0,0.01,4.2,Yes,Repeat Client
P1222,C-CEAT-Client-05,CEAT-Client-05,Creative Economy and Tourism,Market & Social Research,2021-03-05,2021-05-05,2021-05-09,Completed,Low,2,1,1,2450000.0,2580000.0,4.0,0.055,4.2,Yes,Referral
P1073,C-PS-Client-09,PS-Client-09,Public Sector,Political Risk Management,2021-03-06,2021-05-06,2021-05-06,Completed,Medium,5,2,3,9450000.0,9450000.0,0.0,0.0,4.1,No,Repeat Client
P1223,C-CEAT-Client-05,CEAT-Client-05,Creative Economy and Tourism,Stakeholder Engagement,2021-03-07,2021-07-07,2021-07-10,Completed,Medium,4,1,3,12370000.0,12630000.0,3.0,0.021,3.7,No,Repeat Client
P0875,C-FAI-Client-06,FAI-Client-06,Finance and Insurance,Stakeholder Engagement,2021-03-07,2021-07-07,2021-07-11,Completed,Medium,4,1,3,22860000.0,23710000.0,4.0,0.037,4.8,No,Competitive Tender
P1077,C-PS-Client-01,PS-Client-01,Public Sector,Digital Transformation,2021-03-08,2021-09-08,2021-09-25,Completed,High,8,3,5,66520000.0,71510000.0,17.0,0.075,3.8,Yes,Repeat Client
P0240,C-CACM-Client-01,CACM-Client-01,Climate and Carbon Markets,Data Visualization & Analytics,2021-03-09,2021-06-09,2021-06-12,Completed,Medium,4,1,3,18120000.0,18590000.0,3.0,0.026,3.8,No,Referral
P0869,C-FAI-Client-02,FAI-Client-02,Finance and Insurance,Political Risk Management,2021-03-11,2021-12-11,2021-12-13,Completed,High,9,2,7,140970000.0,142100000.0,2.0,0.008,4.7,Yes,Repeat Client
P0870,C-FAI-Client-01,FAI-Client-01,Finance and Insurance,Strategic Planning,2021-03-11,2021-06-11,2021-06-14,Completed,Medium,6,1,5,26340000.0,27080000.0,3.0,0.028,4.7,No,Referral
P0635,C-E-Client-01,E-Client-01,Energy,Data Visualization & Analytics,2021-03-11,2021-08-11,2021-10-26,Completed,Medium,8,2,6,53460000.0,69600000.0,76.0,0.302,2.6,No,Direct Outreach
P1411,C-TAI-Client-07,TAI-Client-07,Technology and Innovation,Stakeholder Engagement,2021-03-12,2021-04-12,2021-04-13,Completed,Low,2,1,1,2320000.0,2390000.0,1.0,0.03,4.2,Yes,Referral
P1075,C-PS-Client-03,PS-Client-03,Public Sector,Political Risk Management,2021-03-13,2021-05-13,2021-07-24,Completed,Medium,4,2,2,8680000.0,13770000.0,72.0,0.586,1.8,No,Repeat Client
P0243,C-CACM-Client-03,CACM-Client-03,Climate and Carbon Markets,Stakeholder Engagement,2021-03-14,2021-06-14,2021-07-31,Completed,Medium,5,2,3,20250000.0,29100000.0,47.0,0.437,2.2,No,Competitive Tender
P0013,C-A-Client-03,A-Client-03,Agriculture,Data Visualization & Analytics,2021-03-15,2021-06-15,2021-06-16,Completed,Low,3,1,2,7890000.0,7960000.0,1.0,0.009,4.3,Yes,Referral
P0871,C-FAI-Client-03,FAI-Client-03,Finance and Insurance,Stakeholder Engagement,2021-03-15,2021-05-15,2021-07-05,Completed,Low,2,1,1,5250000.0,7970000.0,51.0,0.519,2.0,No,Repeat Client
P0874,C-FAI-Client-01,FAI-Client-01,Finance and Insurance,Stakeholder Engagement,2021-03-16,2021-05-16,2021-05-20,Completed,Low,2,1,1,4530000.0,4730000.0,4.0,0.045,4.2,No,Repeat Client
P1224,C-CEAT-Client-03,CEAT-Client-03,Creative Economy and Tourism,Strategic Planning,2021-03-17,2021-06-17,2021-06-19,Completed,Low,4,1,3,9000000.0,9240000.0,2.0,0.027,3.5,No,Competitive Tender
P1410,C-TAI-Client-08,TAI-Client-08,Technology and Innovation,Political Risk Management,2021-03-17,2021-08-17,2021-08-21,Completed,Medium,8,3,5,49130000.0,50550000.0,4.0,0.029,4.3,Yes,Repeat Client
P0637,C-E-Client-08,E-Client-08,Energy,Political Risk Management,2021-03-18,2021-06-18,2021-07-21,Completed,Low,4,1,3,16240000.0,21490000.0,33.0,0.323,2.5,No,Referral
P0873,C-FAI-Client-07,FAI-Client-07,Finance and Insurance,Political Risk Management,2021-03-20,2021-10-20,2021-10-24,Completed,High,13,6,7,146220000.0,149140000.0,4.0,0.02,4.0,Yes,Direct Outreach
P1409,C-TAI-Client-03,TAI-Client-03,Technology and Innovation,Political Risk Management,2021-03-20,2021-05-20,2021-05-22,Completed,Low,4,1,3,9020000.0,9190000.0,2.0,0.019,4.0,Yes,Repeat Client
P1076,C-PS-Client-02,PS-Client-02,Public Sector,Data Visualization & Analytics,2021-03-20,2021-05-20,2021-05-20,Completed,Low,2,1,1,3790000.0,3790000.0,0.0,0.0,4.7,No,Direct Outreach
P0872,C-FAI-Client-02,FAI-Client-02,Finance and Insurance,Market & Social Research,2021-03-25,2021-08-25,2021-08-26,Completed,High,14,6,8,144470000.0,145190000.0,1.0,0.005,5.0,Yes,Repeat Client
P1074,C-PS-Client-01,PS-Client-01,Public Sector,Market & Social Research,2021-03-26,2021-05-26,2021-05-30,Completed,Low,4,1,3,7370000.0,7860000.0,4.0,0.067,4.0,No,Referral
P0241,C-CACM-Client-06,CACM-Client-06,Climate and Carbon Markets,Digital Transformation,2021-03-26,2021-08-26,2021-08-26,Completed,Medium,4,1,3,28050000.0,28050000.0,0.0,0.0,4.1,Yes,Referral
P0012,C-A-Client-07,A-Client-07,Agriculture,Data Visualization & Analytics,2021-03-28,2021-06-28,2021-09-21,Completed,Medium,4,1,3,10050000.0,14080000.0,85.0,0.401,2.2,No,Repeat Client
P1225,C-CEAT-Client-03,CEAT-Client-03,Creative Economy and Tourism,Market & Social Research,2021-04-02,2021-06-02,2021-06-03,Completed,Low,3,1,2,4600000.0,4670000.0,1.0,0.016,4.3,No,Referral
P1414,C-TAI-Client-02,TAI-Client-02,Technology and Innovation,Stakeholder Engagement,2021-04-02,2021-09-02,2021-09-03,Completed,Medium,6,1,5,35980000.0,36230000.0,1.0,0.007,4.4,No,Competitive Tender
P0876,C-FAI-Client-04,FAI-Client-04,Finance and Insurance,Market & Social Research,2021-04-07,2021-08-07,,Cancelled,High,7,2,5,48710000.0,67710000.0,,,,N/A,Competitive Tender
P1226,C-CEAT-Client-04,CEAT-Client-04,Creative Economy and Tourism,Market & Social Research,2021-04-09,2021-06-09,2021-06-09,Completed,Low,4,1,3,5040000.0,5040000.0,0.0,0.0,4.2,No,Referral
P1227,C-CEAT-Client-07,CEAT-Client-07,Creative Economy and Tourism,Stakeholder Engagement,2021-04-09,2021-10-09,2021-10-09,Completed,High,8,2,6,46970000.0,46970000.0,0.0,0.0,4.7,Yes,Repeat Client
P0245,C-CACM-Client-06,CACM-Client-06,Climate and Carbon Markets,Strategic Planning,2021-04-09,2021-06-09,,Cancelled,Low,3,1,2,5480000.0,5890000.0,,,,N/A,Repeat Client
P0014,C-A-Client-02,A-Client-02,Agriculture,Stakeholder Engagement,2021-04-12,2021-07-12,2021-07-13,Completed,Medium,6,3,3,15280000.0,15460000.0,1.0,0.012,5.0,Yes,Referral
P0244,C-CACM-Client-05,CACM-Client-05,Climate and Carbon Markets,Market & Social Research,2021-04-12,2021-07-12,2021-07-12,Completed,Low,4,2,2,14590000.0,14590000.0,0.0,0.0,4.7,Yes,Referral
P1078,C-PS-Client-09,PS-Client-09,Public Sector,Data Visualization & Analytics,2021-04-13,2021-09-13,2021-11-06,Completed,Medium,8,2,6,34840000.0,42160000.0,54.0,0.21,2.4,No,Direct Outreach
P0016,C-A-Client-04,A-Client-04,Agriculture,Digital Transformation,2021-04-15,2021-06-15,2021-06-16,Completed,Low,3,1,2,4390000.0,4440000.0,1.0,0.011,4.3,No,Direct Outreach
P0246,C-CACM-Client-04,CACM-Client-04,Climate and Carbon Markets,Digital Transformation,2021-04-15,2021-08-15,2021-10-01,Completed,High,9,4,5,65100000.0,76950000.0,47.0,0.182,3.3,No,Repeat Client
P1415,C-TAI-Client-05,TAI-Client-05,Technology and Innovation,Political Risk Management,2021-04-16,2021-06-16,2021-06-20,Completed,Medium,5,1,4,13960000.0,14850000.0,4.0,0.064,4.2,Yes,Repeat Client
P1413,C-TAI-Client-06,TAI-Client-06,Technology and Innovation,Strategic Planning,2021-04-17,2021-08-17,2021-08-19,Completed,Medium,7,2,5,32600000.0,33250000.0,2.0,0.02,4.8,No,Repeat Client
P0015,C-A-Client-04,A-Client-04,Agriculture,Market & Social Research,2021-04-21,2021-07-21,2021-07-21,Completed,Medium,8,3,5,19220000.0,19220000.0,0.0,0.0,3.8,No,Competitive Tender
P0638,C-E-Client-08,E-Client-08,Energy,Political Risk Management,2021-04-22,2021-06-22,2021-06-23,Completed,Low,3,1,2,7930000.0,8030000.0,1.0,0.013,4.0,Yes,Referral
P1079,C-PS-Client-03,PS-Client-03,Public Sector,Digital Transformation,2021-04-23,2021-12-23,2022-02-17,Completed,High,7,3,4,76330000.0,91210000.0,56.0,0.195,3.1,No,Competitive Tender
P1083,C-PS-Client-01,PS-Client-01,Public Sector,Market & Social Research,2021-05-02,2021-07-02,2021-08-22,Completed,Low,2,1,1,3100000.0,4420000.0,51.0,0.425,2.1,No,Repeat Client
P0640,C-E-Client-09,E-Client-09,Energy,Data Visualization & Analytics,2021-05-02,2021-07-02,2021-07-05,Completed,Low,2,1,1,4740000.0,5010000.0,3.0,0.058,4.7,No,Competitive Tender
P0879,C-FAI-Client-05,FAI-Client-05,Finance and Insurance,Political Risk Management,2021-05-03,2021-07-03,2021-07-03,Completed,Medium,6,2,4,18960000.0,18960000.0,0.0,0.0,4.3,Yes,Repeat Client
P1084,C-PS-Client-06,PS-Client-06,Public Sector,Digital Transformation,2021-05-03,2021-07-03,2021-07-07,Completed,Low,3,1,2,4730000.0,4960000.0,4.0,0.049,4.4,No,Referral
P0642,C-E-Client-09,E-Client-09,Energy,Data Visualization & Analytics,2021-05-04,2021-07-04,2021-07-06,Completed,Medium,6,1,5,15160000.0,15720000.0,2.0,0.037,4.2,Yes,Repeat Client
P0641,C-E-Client-09,E-Client-09,Energy,Stakeholder Engagement,2021-05-06,2021-12-06,2022-01-24,Completed,High,14,5,9,194810000.0,228900000.0,49.0,0.175,3.3,Yes,Repeat Client
P0639,C-E-Client-04,E-Client-04,Energy,Data Visualization & Analytics,2021-05-06,2021-09-06,2021-09-06,Completed,High,7,2,5,43470000.0,43470000.0,0.0,0.0,4.2,No,Competitive Tender
P1228,C-CEAT-Client-08,CEAT-Client-08,Creative Economy and Tourism,Market & Social Research,2021-05-07,2021-07-07,2021-07-10,Completed,Medium,6,2,4,11360000.0,11690000.0,3.0,0.029,4.1,Yes,Referral
P0021,C-A-Client-07,A-Client-07,Agriculture,Stakeholder Engagement,2021-05-08,2021-09-08,2021-09-08,Completed,Medium,8,4,4,30010000.0,30010000.0,0.0,0.0,4.4,Yes,Referral
P0017,C-A-Client-01,A-Client-01,Agriculture,Data Visualization & Analytics,2021-05-11,2021-06-11,2021-06-12,Completed,Low,2,1,1,1740000.0,1800000.0,1.0,0.036,4.3,No,Competitive Tender
P1085,C-PS-Client-04,PS-Client-04,Public Sector,Stakeholder Engagement,2021-05-13,2021-07-13,2021-07-13,Completed,Low,4,1,3,6800000.0,6800000.0,0.0,0.0,4.3,No,Repeat Client
P0018,C-A-Client-04,A-Client-04,Agriculture,Stakeholder Engagement,2021-05-13,2021-07-13,,Cancelled,Low,2,1,1,3480000.0,4010000.0,,,,N/A,Referral
P0878,C-FAI-Client-05,FAI-Client-05,Finance and Insurance,Market & Social Research,2021-05-13,2021-08-13,2021-08-14,Completed,Low,4,1,3,15270000.0,15440000.0,1.0,0.011,4.8,Yes,Repeat Client
P1080,C-PS-Client-04,PS-Client-04,Public Sector,Digital Transformation,2021-05-16,2021-07-16,2021-07-18,Completed,Low,2,1,1,2840000.0,2900000.0,2.0,0.021,4.3,No,Competitive Tender
P1229,C-CEAT-Client-02,CEAT-Client-02,Creative Economy and Tourism,Stakeholder Engagement,2021-05-16,2021-08-16,2021-08-16,Completed,Low,4,1,3,7820000.0,7820000.0,0.0,0.0,4.5,Yes,Referral
P1416,C-TAI-Client-02,TAI-Client-02,Technology and Innovation,Market & Social Research,2021-05-17,2021-06-17,2021-06-19,Completed,Low,4,2,2,3420000.0,3640000.0,2.0,0.064,4.0,Yes,Competitive Tender
P0020,C-A-Client-05,A-Client-05,Agriculture,Market & Social Research,2021-05-21,2021-10-21,2021-11-29,Completed,Medium,5,2,3,24690000.0,28690000.0,39.0,0.162,3.4,No,Referral
P0877,C-FAI-Client-03,FAI-Client-03,Finance and Insurance,Strategic Planning,2021-05-23,2021-11-23,2021-11-27,Completed,High,11,5,6,116390000.0,119650000.0,4.0,0.028,3.9,Yes,Repeat Client
P0019,C-A-Client-08,A-Client-08,Agriculture,Political Risk Management,2021-05-23,2021-07-23,2021-07-26,Completed,Low,2,1,1,3270000.0,3390000.0,3.0,0.036,4.3,No,Referral
P0247,C-CACM-Client-06,CACM-Client-06,Climate and Carbon Markets,Strategic Planning,2021-05-24,2022-02-24,2022-02-28,Completed,High,13,6,7,213270000.0,215400000.0,4.0,0.01,3.7,Yes,Direct Outreach
P1081,C-PS-Client-04,PS-Client-04,Public Sector,Strategic Planning,2021-05-26,2022-01-26,2022-01-29,Completed,High,11,3,8,104720000.0,106190000.0,3.0,0.014,4.5,Yes,Competitive Tender
P1082,C-PS-Client-03,PS-Client-03,Public Sector,Digital Transformation,2021-05-26,2021-08-26,2021-09-16,Completed,Medium,8,4,4,26590000.0,30420000.0,21.0,0.144,4.0,No,Repeat Client
P1086,C-PS-Client-09,PS-Client-09,Public Sector,Data Visualization & Analytics,2021-06-01,2021-08-01,2021-10-05,Completed,Medium,4,1,3,7540000.0,10590000.0,65.0,0.404,3.5,No,Repeat Client
P1418,C-TAI-Client-01,TAI-Client-01,Technology and Innovation,Political Risk Management,2021-06-02,2021-12-02,2021-12-06,Completed,High,15,5,10,129100000.0,132070000.0,4.0,0.023,4.4,Yes,Competitive Tender
P0644,C-E-Client-04,E-Client-04,Energy,Data Visualization & Analytics,2021-06-07,2022-01-07,2022-04-06,Completed,High,8,2,6,111530000.0,140860000.0,89.0,0.263,1.8,No,Repeat Client
P0025,C-A-Client-05,A-Client-05,Agriculture,Stakeholder Engagement,2021-06-13,2021-11-13,2021-11-14,Completed,Medium,8,3,5,40320000.0,40560000.0,1.0,0.006,4.6,No,Competitive Tender
P0022,C-A-Client-03,A-Client-03,Agriculture,Stakeholder Engagement,2021-06-13,2021-12-13,2021-12-14,Completed,High,10,3,7,80510000.0,80910000.0,1.0,0.005,4.0,No,Direct Outreach
P1419,C-TAI-Client-06,TAI-Client-06,Technology and Innovation,Political Risk Management,2021-06-15,2021-11-15,2021-11-15,Completed,Medium,8,2,6,54350000.0,54350000.0,0.0,0.0,4.8,No,Repeat Client
P0023,C-A-Client-02,A-Client-02,Agriculture,Market & Social Research,2021-06-16,2021-10-16,2021-10-20,Completed,High,7,3,4,33180000.0,33940000.0,4.0,0.023,4.0,No,Repeat Client
P1417,C-TAI-Client-05,TAI-Client-05,Technology and Innovation,Stakeholder Engagement,2021-06-16,2022-03-16,2022-03-16,Completed,High,8,3,5,99500000.0,99500000.0,0.0,0.0,3.6,Yes,Repeat Client
P0643,C-E-Client-08,E-Client-08,Energy,Stakeholder Engagement,2021-06-18,2021-07-18,2021-07-22,Completed,Low,4,2,2,4760000.0,5430000.0,4.0,0.141,4.8,No,Repeat Client
P0027,C-A-Client-02,A-Client-02,Agriculture,Data Visualization & Analytics,2021-06-18,2021-10-18,2021-12-09,Completed,Medium,6,2,4,23580000.0,30560000.0,52.0,0.296,2.8,No,Repeat Client
P1088,C-PS-Client-07,PS-Client-07,Public Sector,Stakeholder Engagement,2021-06-20,2021-09-20,2021-09-21,Completed,Medium,7,3,4,22930000.0,23140000.0,1.0,0.009,4.1,Yes,Competitive Tender
P0024,C-A-Client-02,A-Client-02,Agriculture,Political Risk Management,2021-06-21,2021-09-21,2021-09-25,Completed,Medium,7,3,4,21170000.0,22230000.0,4.0,0.05,4.1,No,Repeat Client
